DateTime, Date, Time, Water Level, Sigma
2015-01-01 01:12,2015-01-01,01:12,0.589,L 
2015-01-01 07:30,2015-01-01,07:30,9.930,HH
2015-01-01 14:00,2015-01-01,14:00,-0.247,LL
2015-01-01 20:12,2015-01-01,20:12,8.870,H 
2015-01-02 02:24,2015-01-02,02:24,0.156,L 
2015-01-02 08:36,2015-01-02,08:36,9.920,HH
2015-01-02 15:06,2015-01-02,15:06,-0.743,LL
2015-01-02 21:06,2015-01-02,21:06,8.014,H 
2015-01-03 03:12,2015-01-03,03:12,-0.264,L 
2015-01-03 09:30,2015-01-03,09:30,9.625,HH
2015-01-03 15:36,2015-01-03,15:36,-0.592,LL
2015-01-03 22:06,2015-01-03,22:06,9.241,H 
2015-01-04 03:54,2015-01-04,03:54,1.301,L 
2015-01-04 10:18,2015-01-04,10:18,10.547,HH
2015-01-04 16:18,2015-01-04,16:18,0.215,LL
2015-01-04 23:00,2015-01-04,23:00,9.608,HH
2015-01-05 04:36,2015-01-05,04:36,-0.195,L 
2015-01-05 10:18,2015-01-05,10:18,9.316,H 
2015-01-05 17:24,2015-01-05,17:24,-1.570,LL
2015-01-05 23:42,2015-01-05,23:42,7.279,H 
2015-01-06 05:12,2015-01-06,05:12,-0.467,LL
2015-01-06 11:42,2015-01-06,11:42,9.234,HH
2015-01-06 17:54,2015-01-06,17:54,-0.369,L 
2015-01-06 23:54,2015-01-06,23:54,8.886,H 
2015-01-07 06:00,2015-01-07,06:00,0.960,L 
2015-01-07 12:12,2015-01-07,12:12,10.281,HH
2015-01-07 18:42,2015-01-07,18:42,-0.238,LL
2015-01-08 00:48,2015-01-08,00:48,8.601,H 
2015-01-08 06:48,2015-01-08,06:48,0.537,L 
2015-01-08 12:54,2015-01-08,12:54,9.375,HH
2015-01-08 19:12,2015-01-08,19:12,0.031,LL
2015-01-09 01:30,2015-01-09,01:30,8.791,HH
2015-01-09 07:24,2015-01-09,07:24,0.602,L 
2015-01-09 13:24,2015-01-09,13:24,8.719,H 
2015-01-09 19:54,2015-01-09,19:54,-0.198,LL
2015-01-10 02:00,2015-01-10,02:00,8.368,H 
2015-01-10 08:06,2015-01-10,08:06,0.550,L 
2015-01-10 14:24,2015-01-10,14:24,8.444,HH
2015-01-10 20:18,2015-01-10,20:18,0.343,LL
2015-01-11 02:48,2015-01-11,02:48,7.817,H 
2015-01-11 08:42,2015-01-11,08:42,0.435,L 
2015-01-11 14:54,2015-01-11,14:54,8.227,HH
2015-01-11 21:12,2015-01-11,21:12,0.271,LL
2015-01-12 03:36,2015-01-12,03:36,8.060,HH
2015-01-12 09:36,2015-01-12,09:36,0.622,LL
2015-01-12 15:54,2015-01-12,15:54,8.004,H 
2015-01-12 22:06,2015-01-12,22:06,0.832,L 
2015-01-13 04:06,2015-01-13,04:06,8.214,HH
2015-01-13 10:18,2015-01-13,10:18,1.065,L 
2015-01-13 16:30,2015-01-13,16:30,7.886,H 
2015-01-13 22:54,2015-01-13,22:54,0.858,LL
2015-01-14 05:06,2015-01-14,05:06,8.604,HH
2015-01-14 11:36,2015-01-14,11:36,1.104,LL
2015-01-14 17:36,2015-01-14,17:36,7.791,H 
2015-01-14 23:36,2015-01-14,23:36,1.383,L 
2015-01-15 06:18,2015-01-15,06:18,9.021,HH
2015-01-15 12:18,2015-01-15,12:18,1.449,LL
2015-01-15 18:30,2015-01-15,18:30,8.516,H 
2015-01-16 00:36,2015-01-16,00:36,1.751,L 
2015-01-16 06:54,2015-01-16,06:54,9.566,HH
2015-01-16 13:42,2015-01-16,13:42,0.737,L 
2015-01-16 19:24,2015-01-16,19:24,7.646,H 
2015-01-17 01:30,2015-01-17,01:30,0.478,LL
2015-01-17 07:48,2015-01-17,07:48,9.155,HH
2015-01-17 14:18,2015-01-17,14:18,-0.280,LL
2015-01-17 20:30,2015-01-17,20:30,8.424,H 
2015-01-18 02:24,2015-01-18,02:24,0.323,L 
2015-01-18 08:54,2015-01-18,08:54,10.310,HH
2015-01-18 15:06,2015-01-18,15:06,-0.382,LL
2015-01-18 21:24,2015-01-18,21:24,9.920,H 
2015-01-19 03:18,2015-01-19,03:18,0.779,L 
2015-01-19 09:42,2015-01-19,09:42,11.193,HH
2015-01-19 15:48,2015-01-19,15:48,-0.982,LL
2015-01-19 22:06,2015-01-19,22:06,9.615,H 
2015-01-20 04:06,2015-01-20,04:06,-0.664,L 
2015-01-20 10:24,2015-01-20,10:24,11.058,HH
2015-01-20 16:42,2015-01-20,16:42,-1.747,LL
2015-01-20 23:00,2015-01-20,23:00,9.644,H 
2015-01-21 04:54,2015-01-21,04:54,-1.169,L 
2015-01-21 11:12,2015-01-21,11:12,11.281,HH
2015-01-21 17:30,2015-01-21,17:30,-1.675,LL
2015-01-21 23:42,2015-01-21,23:42,10.704,H 
