date, datatype, valuestation,attributes
2015-01-01T00:00:00,AWND,3.6,GHCND:USW00014764,",,W,"
2015-01-01T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-01T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-01T00:00:00,SNWD,0.0,GHCND:USW00014764,",,W,2400"
2015-01-01T00:00:00,TAVG,-5.0,GHCND:USW00014764,"H,,S,"
2015-01-01T00:00:00,TMAX,0.0,GHCND:USW00014764,",,W,2400"
2015-01-01T00:00:00,TMIN,-7.7,GHCND:USW00014764,",,W,2400"
2015-01-01T00:00:00,WDF2,230,GHCND:USW00014764,",,W,"
2015-01-01T00:00:00,WDF5,220,GHCND:USW00014764,",,W,"
2015-01-01T00:00:00,WSF2,8.9,GHCND:USW00014764,",,W,"
2015-01-01T00:00:00,WSF5,12.1,GHCND:USW00014764,",,W,"
2015-01-02T00:00:00,AWND,5.1,GHCND:USW00014764,",,W,"
2015-01-02T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-02T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-02T00:00:00,SNWD,0.0,GHCND:USW00014764,",,W,2400"
2015-01-02T00:00:00,TAVG,-0.7,GHCND:USW00014764,"H,,S,"
2015-01-02T00:00:00,TMAX,3.3,GHCND:USW00014764,",,W,2400"
2015-01-02T00:00:00,TMIN,-5.5,GHCND:USW00014764,",,W,2400"
2015-01-02T00:00:00,WDF2,290,GHCND:USW00014764,",,W,"
2015-01-02T00:00:00,WDF5,280,GHCND:USW00014764,",,W,"
2015-01-02T00:00:00,WSF2,13.0,GHCND:USW00014764,",,W,"
2015-01-02T00:00:00,WSF5,17.0,GHCND:USW00014764,",,W,"
2015-01-03T00:00:00,AWND,3.0,GHCND:USW00014764,",,W,"
2015-01-03T00:00:00,PRCP,10.4,GHCND:USW00014764,",,W,2400"
2015-01-03T00:00:00,SNOW,79.0,GHCND:USW00014764,",,W,"
2015-01-03T00:00:00,SNWD,0.0,GHCND:USW00014764,",,W,2400"
2015-01-03T00:00:00,TAVG,-6.2,GHCND:USW00014764,"H,,S,"
2015-01-03T00:00:00,TMAX,1.1,GHCND:USW00014764,",,W,2400"
2015-01-03T00:00:00,TMIN,-9.9,GHCND:USW00014764,",,W,2400"
2015-01-03T00:00:00,WDF2,130,GHCND:USW00014764,",,W,"
2015-01-03T00:00:00,WDF5,130,GHCND:USW00014764,",,W,"
2015-01-03T00:00:00,WSF2,7.6,GHCND:USW00014764,",,W,"
2015-01-03T00:00:00,WSF5,10.3,GHCND:USW00014764,",,W,"
2015-01-03T00:00:00,WT01,1,GHCND:USW00014764,",,W,"
2015-01-03T00:00:00,WT04,1,GHCND:USW00014764,",,W,"
2015-01-04T00:00:00,AWND,3.0,GHCND:USW00014764,",,W,"
2015-01-04T00:00:00,PRCP,11.9,GHCND:USW00014764,",,W,2400"
2015-01-04T00:00:00,SNOW,33.0,GHCND:USW00014764,",,W,"
2015-01-04T00:00:00,SNWD,100.0,GHCND:USW00014764,",,W,2400"
2015-01-04T00:00:00,TAVG,-2.4,GHCND:USW00014764,"H,,S,"
2015-01-04T00:00:00,TMAX,1.7,GHCND:USW00014764,",,W,2400"
2015-01-04T00:00:00,TMIN,-4.9,GHCND:USW00014764,",,W,2400"
2015-01-04T00:00:00,WDF2,340,GHCND:USW00014764,",,W,"
2015-01-04T00:00:00,WDF5,350,GHCND:USW00014764,",,W,"
2015-01-04T00:00:00,WSF2,6.7,GHCND:USW00014764,",,W,"
2015-01-04T00:00:00,WSF5,8.5,GHCND:USW00014764,",,W,"
